,index,Mentions,Bearish,Neutral,Bullish,Total/Compound
48,ALL,6,0.167,0.722,0.112,-0.098
49,BBBY,6,0.134,0.772,0.094,-0.045
50,LFG,6,0.0,0.769,0.231,0.375
51,IBM,6,0.096,0.645,0.259,0.037
52,BBIG,6,0.062,0.938,0.0,-0.076
53,SDC,6,0.017,0.658,0.325,0.227
54,DAO,6,0.0,0.93,0.07,0.11
55,PM,6,0.045,0.925,0.03,-0.001
56,FB,6,0.129,0.67,0.201,0.223
57,ES,6,0.138,0.628,0.234,0.183
58,SPOT,6,0.102,0.853,0.045,-0.045
59,TV,5,0.161,0.826,0.013,-0.396
60,OUT,5,0.169,0.771,0.061,-0.07
61,ARE,5,0.362,0.599,0.039,-0.365
62,BULL,5,0.078,0.436,0.486,0.671
63,AM,5,0.03,0.723,0.246,0.498
64,NIO,5,0.07,0.818,0.111,-0.022
65,MC,5,0.058,0.756,0.187,0.511
66,CAN,5,0.094,0.75,0.156,0.135
67,DIDI,5,0.009,0.861,0.13,0.605
68,XELA,5,0.0,0.947,0.053,0.162
69,AL,5,0.028,0.508,0.465,0.588
70,GM,5,0.0,1.0,0.0,0.0
71,ED,5,0.122,0.815,0.063,-0.08
72,TMRC,5,0.009,0.916,0.075,0.317
73,NGS,4,0.035,0.596,0.37,0.622
74,LL,4,0.224,0.679,0.097,-0.105
75,NS,4,0.0,0.883,0.117,0.343
76,RTX,4,0.061,0.669,0.27,0.371
77,FANG,4,0.019,0.833,0.148,0.503
78,GO,4,0.153,0.698,0.149,0.073
79,PSA,4,0.0,1.0,0.0,0.0
80,CENN,4,0.047,0.938,0.015,-0.182
81,CMC,4,0.053,0.578,0.37,0.836
82,VLN,4,0.018,0.797,0.185,0.477
83,WW,4,0.0,0.823,0.177,0.313
84,SOFI,4,0.0,0.729,0.271,0.412
85,CAL,4,0.0,0.641,0.359,0.54
86,ROCK,4,0.044,0.85,0.106,0.005
87,DKNG,4,0.0,0.931,0.069,0.204
88,SENS,4,0.027,0.758,0.215,0.277
89,AAL,4,0.121,0.698,0.181,0.22
90,FSD,4,0.0,0.858,0.142,0.335
91,RC,4,0.031,0.858,0.111,0.113
92,TSRI,4,0.107,0.783,0.11,0.07
93,SO,4,0.022,0.833,0.145,0.232
94,HAS,3,0.0,0.888,0.112,0.182
95,RY,3,0.221,0.668,0.112,-0.223
96,EA,3,0.138,0.787,0.074,-0.141
97,UONE,3,0.0,1.0,0.0,0.0
98,MTCH,3,0.377,0.562,0.062,-0.415
99,AMZN,3,0.0,0.842,0.158,0.267
100,CCL,3,0.071,0.629,0.3,0.394
101,USA,3,0.05,0.777,0.173,0.319
102,AI,3,0.0,0.896,0.104,0.288
103,RSI,3,0.158,0.842,0.0,-0.279
104,ATVI,3,0.083,0.817,0.1,-0.003
105,CG,3,0.07,0.663,0.268,0.789
106,OC,3,0.0,0.921,0.079,0.12
107,GMVD,3,0.0,0.75,0.25,0.425
108,PRPL,3,0.062,0.719,0.219,0.343
109,GE,3,0.222,0.69,0.088,-0.198
110,PIXY,3,0.167,0.833,0.0,-0.153
111,ACB,3,0.044,0.773,0.183,0.438
112,SP,3,0.035,0.851,0.113,0.287
113,PT,3,0.024,0.73,0.247,0.636
114,ABNB,3,0.043,0.749,0.207,0.392
115,LE,3,0.0,0.91,0.09,0.224
116,PHI,3,0.0,0.442,0.558,0.979
117,PHIL,3,0.0,0.442,0.558,0.979
118,NOW,3,0.0,1.0,0.0,0.0
119,FUBO,3,0.0,0.98,0.02,0.106
120,ONE,3,0.101,0.631,0.267,0.296
121,TOP,3,0.0,0.826,0.174,0.489
122,CORZ,3,0.054,0.654,0.292,0.432
123,PETZ,3,0.028,0.684,0.288,0.372
124,BYND,3,0.476,0.524,0.0,-0.479
125,AMRN,3,0.0,1.0,0.0,0.0
126,XCUR,3,0.0,0.319,0.681,0.854
127,NR,3,0.0,0.957,0.043,0.14
128,DRS,3,0.0,0.818,0.182,0.264
129,TAL,3,0.0,0.889,0.111,0.346
130,OM,3,0.0,0.64,0.36,0.776
131,HEXO,3,0.041,0.854,0.105,0.232
132,RIDE,3,0.102,0.69,0.208,0.141
133,PYPL,3,0.0,0.844,0.156,0.289
134,ZIM,3,0.2,0.682,0.119,-0.279
135,BTT,3,0.249,0.607,0.143,-0.402
136,COIN,3,0.249,0.607,0.143,-0.402
137,GAME,3,0.146,0.854,0.0,-0.246
138,BA,2,0.0,0.856,0.145,0.295
139,RELI,2,0.081,0.575,0.345,0.552
140,SI,2,0.0,0.611,0.39,0.689
141,IBKR,2,0.068,0.864,0.068,0.0
142,AMP,2,0.064,0.669,0.267,0.095
143,XP,2,0.0,0.526,0.474,0.542
144,UK,2,0.092,0.908,0.0,-0.201
145,HP,2,0.08,0.871,0.049,-0.075
146,SKLZ,2,0.104,0.863,0.033,-0.278
147,SAVA,2,0.055,0.728,0.217,0.249
148,BRO,2,0.305,0.454,0.24,-0.082
149,KTRA,2,0.0,0.738,0.262,0.493
150,SNAP,2,0.032,0.832,0.136,0.44
151,OG,2,0.0,1.0,0.0,0.0
152,MA,2,0.046,0.929,0.025,-0.181
153,NKLA,2,0.0,0.887,0.113,0.22
154,SPCE,2,0.0,0.887,0.113,0.22
155,HUGE,2,0.043,0.466,0.491,0.613
156,NEXT,2,0.07,0.879,0.051,-0.253
157,DISCK,2,0.0,0.844,0.156,0.359
158,MSM,2,0.346,0.654,0.0,-0.57
159,OGI,2,0.169,0.736,0.096,-0.244
160,EGY,2,0.074,0.849,0.077,-0.137
161,BY,2,0.0,0.923,0.077,0.281
162,FUND,2,0.0,0.853,0.147,0.504
163,RUN,2,0.0,0.762,0.238,0.759
164,SE,2,0.0,0.756,0.243,0.462
165,TXN,2,0.049,0.759,0.193,0.295
166,BEST,2,0.0,0.799,0.201,0.793
167,CRK,2,0.0,1.0,0.0,0.0
168,OP,2,0.0,0.583,0.417,0.736
169,PROG,2,0.059,0.839,0.102,0.125
170,CC,2,0.139,0.605,0.256,0.118
171,GLD,2,0.0,1.0,0.0,0.0
172,RIG,2,0.0,0.841,0.16,0.398
173,ALNA,2,0.0,1.0,0.0,0.0
174,CE,2,0.281,0.719,0.0,-0.408
175,WKHS,2,0.0,1.0,0.0,0.0
176,BROS,2,0.25,0.635,0.116,-0.028
177,BOOM,2,0.0,1.0,0.0,0.0
178,NAVI,2,0.416,0.584,0.0,-0.359
179,INO,2,0.0,0.84,0.16,0.406
180,AG,2,0.0,0.463,0.537,0.696
181,DNA,2,0.0,0.84,0.16,0.406
182,GTE,2,0.207,0.647,0.146,-0.063
183,MDRR,2,0.0,1.0,0.0,0.0
184,MEME,2,0.0,0.742,0.258,0.507
185,ROLL,2,0.0,0.699,0.301,0.472
186,JPM,2,0.171,0.829,0.0,-0.416
187,DE,2,0.182,0.818,0.0,-0.339
188,MYOV,2,0.0,1.0,0.0,0.0
189,ONS,2,0.0,0.501,0.499,0.98
190,TSP,2,0.035,0.908,0.057,0.063
191,JAN,2,0.367,0.633,0.0,-0.694
192,TSM,2,0.049,0.952,0.0,-0.064
193,BAC,2,0.279,0.368,0.353,0.22
194,BIG,2,0.035,0.865,0.1,0.411
