,index,Mentions,Bearish,Neutral,Bullish,Total/Compound
433,ET,1,0.0,0.649,0.351,0.402
434,PAY,1,0.151,0.849,0.0,-0.281
435,FOLD,1,0.151,0.849,0.0,-0.281
436,OM,1,0.222,0.529,0.249,0.094
437,AKBA,1,0.0,1.0,0.0,0.0
438,BLND,1,0.0,0.643,0.357,0.718
439,BCRX,1,0.0,0.884,0.116,0.361
440,GOOGL,1,0.0,0.864,0.136,0.026
441,GLPG,1,0.0,0.904,0.096,0.572
442,JWN,1,0.0,1.0,0.0,0.0
443,DG,1,0.0,0.719,0.281,0.511
444,LGHL,1,0.0,1.0,0.0,0.0
445,CS,1,0.166,0.716,0.118,-0.363
