,index,Mentions,Bearish,Neutral,Bullish,Total/Compound
394,KAVL,1,0.000,0.872,0.128,0.421
395,GOFF,1,0.000,1.000,0.000,0.000
396,BCRX,1,0.000,1.000,0.000,0.000
397,CARE,1,0.000,0.335,0.665,0.715
398,ATAI,1,0.000,1.000,0.000,0.000
399,GH,1,0.000,0.759,0.241,0.624
400,ENS,1,0.000,0.759,0.241,0.624
401,APP,1,0.000,0.759,0.241,0.624
402,USX,1,0.000,0.707,0.293,0.440
403,GOCO,1,0.125,0.633,0.242,0.807
404,SBEA,1,0.000,1.000,0.000,0.000
405,BCTX,1,0.000,1.000,0.000,0.000
406,ELY,1,0.000,0.588,0.412,0.273
407,VERY,1,0.201,0.799,0.000,-0.506
408,METX,1,0.000,1.000,0.000,0.000
409,GAIN,1,0.333,0.247,0.420,0.178
410,DPRO,1,0.152,0.649,0.199,0.026
411,SONY,1,0.000,0.670,0.330,0.710
412,RE,1,0.095,0.764,0.141,0.281
413,EM,1,0.000,0.417,0.583,0.421
414,DELL,1,0.000,0.745,0.255,0.340
