,index,Mentions,Bearish,Neutral,Bullish,Total/Compound
290,OR,1,0.327,0.389,0.284,-0.25
291,INFO,1,0.4,0.439,0.161,-0.716
292,INM,1,0.0,0.725,0.275,0.586
293,AMG,1,0.0,1.0,0.0,0.0
294,BKKT,1,0.0,0.375,0.625,0.718
295,CVR,1,0.0,0.709,0.291,0.572
296,UAN,1,0.0,0.709,0.291,0.572
297,CGC,1,0.268,0.732,0.0,-0.296
298,NLSP,1,0.0,1.0,0.0,0.0
299,UCO,1,0.0,1.0,0.0,0.0
300,ATAI,1,0.0,0.854,0.146,0.44
301,CMPS,1,0.0,0.854,0.146,0.44
302,MCD,1,0.0,1.0,0.0,0.0
303,UAL,1,0.0,1.0,0.0,0.0
304,ROKU,1,0.262,0.738,0.0,-0.494
305,AX,1,0.065,0.775,0.16,0.683
306,BRN,1,0.065,0.775,0.16,0.683
307,NEPT,1,0.117,0.847,0.036,-0.684
308,MDXG,1,0.061,0.606,0.333,0.903
309,ESS,1,0.061,0.606,0.333,0.903
310,VALN,1,0.0,1.0,0.0,0.0
311,GSAT,1,0.366,0.423,0.211,-0.296
312,BHP,1,0.0,1.0,0.0,0.0
313,BMRN,1,0.0,1.0,0.0,0.0
314,DM,1,0.247,0.753,0.0,-0.318
315,PLUG,1,0.0,1.0,0.0,0.0
316,TDS,1,0.114,0.751,0.135,0.178
317,SSL,1,0.114,0.751,0.135,0.178
318,TELL,1,0.236,0.688,0.075,-0.689
319,IMMX,1,0.0,1.0,0.0,0.0
320,LICY,1,0.0,0.715,0.285,0.947
321,RKLB,1,0.0,1.0,0.0,0.0
322,NOV,1,0.0,1.0,0.0,0.0
323,HGEN,1,0.133,0.513,0.354,0.649
324,DOLE,1,0.0,0.609,0.391,0.67
325,OSTK,1,0.231,0.769,0.0,-0.459
326,JOBS,1,0.11,0.787,0.102,-0.026
327,WHEN,1,0.0,0.795,0.205,0.202
328,FTCV,1,0.0,0.795,0.205,0.202
329,IONS,1,0.0,0.795,0.205,0.202
330,DXLG,1,0.258,0.5,0.242,-0.052
331,TAUG,1,0.0,1.0,0.0,0.0
332,GRMN,1,0.0,1.0,0.0,0.0
333,RCL,1,0.0,0.444,0.556,0.718
334,AMBO,1,0.0,1.0,0.0,0.0
335,OGI,1,0.0,0.661,0.339,0.851
336,SKLZ,1,0.0,1.0,0.0,0.0
337,HGTY,1,0.0,1.0,0.0,0.0
338,LMT,1,0.0,1.0,0.0,0.0
339,ELSE,1,0.0,1.0,0.0,0.0
340,SSSS,1,0.0,0.877,0.123,0.421
341,CRON,1,0.0,0.836,0.164,0.649
342,MYNZ,1,0.0,1.0,0.0,0.0
343,BFRA,1,0.6,0.4,0.0,-0.459
344,GOLD,1,0.0,0.769,0.231,0.202
345,UI,1,0.0,1.0,0.0,0.0
346,ARVL,1,0.0,1.0,0.0,0.0
347,AEO,1,0.0,1.0,0.0,0.0
348,ONCY,1,0.0,0.762,0.238,0.361
349,SLDP,1,0.6,0.4,0.0,-0.459
350,ALLY,1,0.0,1.0,0.0,0.0
351,BVN,1,0.549,0.451,0.0,-0.726
352,DOCN,1,0.053,0.891,0.056,0.026
353,TF,1,0.104,0.72,0.176,0.226
354,DB,1,0.286,0.19,0.524,0.361
355,ATER,1,0.098,0.787,0.115,0.126
356,QCOM,1,0.0,0.635,0.365,0.318
357,FT,1,0.0,1.0,0.0,0.0
358,AN,1,0.0,1.0,0.0,0.0
359,OUT,1,0.417,0.583,0.0,-0.718
360,WEJO,1,0.0,1.0,0.0,0.0
361,TVIXF,1,0.0,1.0,0.0,0.0
362,CHWY,1,0.159,0.69,0.152,-0.026
363,GNUS,1,0.271,0.729,0.0,-0.382
364,IDEX,1,0.271,0.729,0.0,-0.382
365,LEAP,1,0.25,0.5,0.25,0.0
366,HIMX,1,0.0,1.0,0.0,0.0
367,CS,1,0.0,1.0,0.0,0.0
368,SRNE,1,0.0,1.0,0.0,0.0
369,ALNA,1,0.0,0.815,0.185,0.361
370,ACH,1,0.0,0.84,0.16,0.727
371,BRFH,1,0.0,1.0,0.0,0.0
372,KTRA,1,0.0,0.703,0.297,0.523
373,HEXO,1,0.412,0.5,0.088,-0.9
374,PNC,1,0.0,1.0,0.0,0.0
375,BSFC,1,0.0,1.0,0.0,0.0
376,UBS,1,0.202,0.798,0.0,-0.586
377,BNTX,1,0.202,0.798,0.0,-0.586
378,HT,1,0.0,1.0,0.0,0.0
379,EOD,1,0.0,0.769,0.231,0.34
380,INND,1,0.0,1.0,0.0,0.0
381,KE,1,0.0,0.515,0.485,0.768
382,VFC,1,0.072,0.648,0.28,0.625
383,WMT,1,0.072,0.648,0.28,0.625
384,NVCN,1,0.0,1.0,0.0,0.0
385,WELL,1,0.296,0.623,0.082,-0.758
386,RYB,1,0.429,0.571,0.0,-0.459
387,KMPH,1,0.0,1.0,0.0,0.0
388,TMC,1,0.587,0.413,0.0,-0.727
389,RMED,1,0.413,0.587,0.0,-0.829
390,BRLT,1,0.0,0.848,0.152,0.361
391,CELZ,1,0.0,1.0,0.0,0.0
392,SIGA,1,0.0,1.0,0.0,0.0
393,MARA,1,0.37,0.528,0.102,-0.765
394,GE,1,0.0,1.0,0.0,0.0
395,LTRY,1,0.0,0.427,0.573,0.617
396,BUD,1,0.053,0.808,0.139,0.625
397,OIL,1,0.0,0.742,0.258,0.54
398,ESE,1,0.0,1.0,0.0,0.0
399,LWLG,1,0.485,0.515,0.0,-0.691
400,TWTR,1,0.0,1.0,0.0,0.0
401,UMC,1,0.0,1.0,0.0,0.0
402,ADT,1,0.0,0.862,0.138,0.649
403,DOCU,1,0.229,0.529,0.241,0.052
404,LMND,1,0.0,0.541,0.459,0.527
405,SLV,1,0.0,1.0,0.0,0.0
406,BBY,1,0.0,0.612,0.388,0.368
407,MOD,1,0.0,1.0,0.0,0.0
408,TY,1,0.287,0.713,0.0,-0.617
409,ZNGA,1,0.0,1.0,0.0,0.0
410,IBM,1,0.251,0.749,0.0,-0.748
411,BBW,1,0.0,1.0,0.0,0.0
412,ANY,1,0.184,0.625,0.191,-0.202
413,AIR,1,0.211,0.789,0.0,-0.34
414,NAD,1,0.0,0.941,0.059,0.47
415,SONY,1,0.172,0.828,0.0,-0.794
416,FL,1,0.741,0.259,0.0,-0.774
417,GAIN,1,0.0,1.0,0.0,0.0
418,ENPH,1,0.0,1.0,0.0,0.0
419,BA,1,0.286,0.714,0.0,-0.052
420,MSTR,1,0.403,0.403,0.194,-0.557
421,ASTS,1,0.199,0.567,0.234,0.128
422,DY,1,0.107,0.653,0.24,0.648
423,LE,1,0.107,0.653,0.24,0.648
424,KOPN,1,0.0,1.0,0.0,0.0
425,BTTR,1,0.0,1.0,0.0,0.0
426,ABCL,1,0.0,0.897,0.103,0.318
427,OUST,1,0.0,0.897,0.103,0.318
428,SIX,1,0.267,0.586,0.147,-0.691
429,BEST,1,0.0,0.296,0.704,0.888
430,CRTX,1,0.261,0.507,0.232,-0.103
431,SAVE,1,0.261,0.507,0.232,-0.103
432,BV,1,0.0,0.64,0.36,0.637
433,XOM,1,0.0,0.294,0.706,0.34
434,MN,1,0.0,0.638,0.362,0.778
435,MF,1,0.0,0.783,0.217,0.361
436,UPST,1,0.0,1.0,0.0,0.0
437,TSM,1,0.077,0.771,0.152,0.409
438,ONEM,1,0.247,0.753,0.0,-0.93
439,AVHOQ,1,0.0,1.0,0.0,0.0
440,RKT,1,0.0,1.0,0.0,0.0
441,IRS,1,0.291,0.709,0.0,-0.572
442,GLD,1,0.0,0.571,0.429,0.459
443,HUT,1,0.106,0.596,0.298,0.932
444,AMBA,1,0.0,1.0,0.0,0.0
445,NAZ,1,0.322,0.507,0.171,-0.907
446,HAS,1,0.258,0.276,0.466,0.461
447,HUGE,1,0.258,0.276,0.466,0.461
448,UROY,1,0.0,1.0,0.0,0.0
449,JLL,1,0.0,1.0,0.0,0.0
450,SIGI,1,0.0,1.0,0.0,0.0
451,CC,1,0.0,1.0,0.0,0.0
452,BC,1,0.0,1.0,0.0,0.0
453,PT,1,0.0,1.0,0.0,0.0
454,CIA,1,0.246,0.754,0.0,-0.869
455,MIT,1,0.0,0.796,0.204,0.318
456,RIVN,1,0.0,1.0,0.0,0.0
457,PL,1,0.0,1.0,0.0,0.0
458,AVXL,1,0.0,1.0,0.0,0.0
459,BIGC,1,0.0,1.0,0.0,0.0
460,WEN,1,0.111,0.735,0.154,-0.026
461,SIVR,1,0.179,0.564,0.256,0.361
462,ASTR,1,0.0,0.5,0.5,0.718
